id,ar_name,en_name,fr_name,ar_content,fr_content,en_content,total,transcription,audio_url,tasbih_id,numOrder,ml_name,ml_content,communityId,is_active,created_at,updated_at
1,فاتحة الكتاب,Opening of the book,Prologue,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ (1) ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ (2) ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ (3) مَٰلِكِ يَوۡمِ ٱلدِّينِ (4) إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ (5) ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ (6) صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ (7),"1. Au nom d’Allah, le Tout Miséricordieux, le Très Miséricordieux. 2. Louange à Allah, Seigneur de l’univers. 3. Le Tout Miséricordieux, le Très Miséricordieux, 4. Maître du Jour de la rétribution. 5. C’est Toi [Seul] que nous adorons, et c’est Toi [Seul] dont nous implorons secours. 6. Guide-nous dans le droit chemin, 7. le chemin de ceux que Tu as comblés de faveurs, non pas de ceux qui ont encouru Ta colère, ni des égarés","In the name of God, the Most Gracious, the Most Merciful. (1) All praise is due to God, Lord of the worlds. (2) The Most Gracious, the Most Merciful. (3) Master of the Day of Judgment. (4) You alone do we worship, and You alone do we ask for help. (5) Guide us to the straight path. (6) The path of those upon whom You have bestowed favor, except for (7) Those who incur wrath, nor those who go astray.",1,Bismi-llāhi r-raḥmāni r-raḥīm (1) Al-ḥamdu li-llāhi Rabbi l-ʿālamīn (2) Ar-raḥmāni r-raḥīm (3) Māliki yawmi d-dīn (4) Iyyāka naʿbudu wa iyyāka nastaʿīn (5) Ihdinā ṣ-ṣirāta l-mustaqīm (6) Ṣirāta lladhīna anʿamta ʿalayhim ghayri l-maghḍūbi ʿalayhim wa lā ḍ-ḍāllīn,assets/fatiha.mp3,2,2,Doa pembukaan,"Dengan nama Allah, Yang Maha Pemurah, Yang Maha Penyayang.
Segala puji bagi Allah, Tuhan semesta alam.
Yang Maha Pemurah, Yang Maha Penyayang,
Pemilik Hari Pembalasan.
Hanya kepada Engkau kami menyembah, dan hanya kepada Engkau kami mohon pertolongan.
Tunjukilah kami jalan yang lurus,
iaitu jalan orang-orang yang Engkau telah kurniakan nikmat kepada mereka, bukan jalan mereka yang dimurkai, dan bukan pula jalan mereka yang sesat.",1,true,2025-07-28 22:11:21.684829+00,2025-07-28 22:11:53.14491+00
2,سُبْحَانَ ربّكَ ربِّ العِزّةِ عمَّا يَصِفُونَ وَ سَلام عَلى المُرْسَلِينَ وَ الحَمْدُ للهِ ربِّ العَالَمِينَ,"Glory be to your Lord, the Lord of Might, above what they describe. And peace be upon the messengers. And praise be to God, Lord of the worlds.","Gloire à ton Seigneur, Seigneur de gloire au-dessus de ce qu'ils décrivent, et paix soit sur les messagers, et louange à Dieu, Seigneur des mondes.",سُبْحَانَ ربّكَ ربِّ العِزّةِ عمَّا يَصِفُونَ وَ سَلام عَلى المُرْسَلِينَ وَ الحَمْدُ للهِ ربِّ العَالَمِينَ,"Gloire à ton Seigneur, Seigneur de gloire au-dessus de ce qu'ils décrivent, et paix soit sur les messagers, et louange à Dieu, Seigneur des mondes.","Glory be to your Lord, the Lord of Might, above what they describe. And peace be upon the messengers. And praise be to God, Lord of the worlds.",1,"Subḥāna Rabbika Rabbil-ʿizzati ʿammā yaṣifūn, wa salāmun ʿala-l-mursalīn, wal-ḥamdu lillāhi Rabbil-ʿālamīn.",null,2,4,"Maha Suci Tuhanmu, Tuhan yang mempunyai kekuasaan, dari apa yang mereka sifatkan. Dan salam sejahtera ke atas para Rasul. Dan segala puji bagi Allah, Tuhan sekalian alam.","Maha Suci Tuhanmu, Tuhan yang mempunyai kekuasaan, dari apa yang mereka sifatkan. Dan salam sejahtera ke atas para Rasul. Dan segala puji bagi Allah, Tuhan sekalian alam.",1,true,2025-07-28 22:11:21.684829+00,2025-07-28 22:11:53.14491+00
3,سُبْحَانَ ربّكَ ربِّ العِزّةِ عمَّا يَصِفُونَ وَ سَلام عَلى المُرْسَلِينَ وَ الحَمْدُ للهِ ربِّ العَالَمِينَ,"Glory be to your Lord, the Lord of Might, above what they describe. And peace be upon the messengers. And praise be to God, Lord of the worlds.","Gloire à ton Seigneur, le Seigneur de la puissance, qui est au-dessus de ce qu'ils décrivent. Et paix sur les Messagers. Et louange à Allah, Seigneur des mondes",سُبْحَانَ ربّكَ ربِّ العِزّةِ عمَّا يَصِفُونَ وَ سَلام عَلى المُرْسَلِينَ وَ الحَمْدُ للهِ ربِّ العَالَمِينَ,"Gloire à ton Seigneur, le Seigneur de la puissance, qui est au-dessus de ce qu'ils décrivent. Et paix sur les Messagers. Et louange à Allah, Seigneur des mondes","Glory be to your Lord, the Lord of Might, above what they describe. And peace be upon the messengers. And praise be to God, Lord of the worlds.",1,"Subḥāna Rabbika Rabbil-ʿizzati ʿammā yaṣifūn, wa salāmun ʿala-l-mursalīn, wal-ḥamdu lillāhi Rabbil-ʿālamīn.",null,2,6,"Maha Suci Tuhanmu, Tuhan yang mempunyai kekuasaan, dari apa yang mereka sifatkan. Dan salam sejahtera ke atas para Rasul. Dan segala puji bagi Allah, Tuhan sekalian alam.","Maha Suci Tuhanmu, Tuhan yang mempunyai kekuasaan, dari apa yang mereka sifatkan. Dan salam sejahtera ke atas para Rasul. Dan segala puji bagi Allah, Tuhan sekalian alam.",1,true,2025-07-28 22:11:21.684829+00,2025-07-28 22:11:53.14491+00
4,سيّدنا محمّد رسول الله عليه سلام الله . إِنَّ الله وَ مَلائكتهُ يُصَلّونَ عَلى النَّبيِّ يَا أَيّهَا الّذِينَ آمَنُوا صَلّوا عَلَيْهِ وَ سَلِّمُوا تَسْلِيمًا. صلى الله عليه و على آله و صحبه و سلّم تسليما. – سُبْحَانَ ربّكَ ربِّ العِزّةِ عمَّا يَصِفُونَ وَ سَلام عَلى المُرْسَلِينَ وَ الحَمْدُ للهِ ربِّ العَالَمِينَ,"Our master Muhammad is the Messenger of God, upon him is the peace of God. Indeed, God and His angels send blessings upon the Prophet. O you who have believed, ask [God to confer] blessing upon him and ask [God to grant him] peace. May God's prayers be upon him, as well as upon his family and companions, and may He grant them peace.  Glory to your Lord, the Lord of Might, above what they describe. Peace upon the messengers, and praise be to God, the Lord of the worlds.","Notre Seigneur Muhammad est le Messager de Dieu, sur lui est la paix de Dieu. En vérité, Dieu et Ses anges prient sur le Prophète. Ô vous qui avez cru, priez sur lui et saluez-le avec respect. Que la prière de Dieu soit sur lui, ainsi que sur sa famille et ses compagnons, et qu'Il leur accorde la paix.  Gloire à ton Seigneur, le Seigneur de la Puissance, au-dessus de ce qu'ils décrivent. Paix sur les messagers, et louange à Dieu, Seigneur de l'univers.",سيّدنا محمّد رسول الله عليه سلام الله . إِنَّ الله وَ مَلائكتهُ يُصَلّونَ عَلى النَّبيِّ يَا أَيّهَا الّذِينَ آمَنُوا صَلّوا عَلَيْهِ وَ سَلِّمُوا تَسْلِيمًا. صلى الله عليه و على آله و صحبه و سلّم تسليما. – سُبْحَانَ ربّكَ ربِّ العِزّةِ عمَّا يَصِفُونَ وَ سَلام عَلى المُرْسَلِينَ وَ الحَمْدُ للهِ ربِّ العَالَمِينَ,"Notre Seigneur Muhammad est le Messager de Dieu, sur lui est la paix de Dieu. En vérité, Dieu et Ses anges prient sur le Prophète. Ô vous qui avez cru, priez sur lui et saluez-le avec respect. Que la prière de Dieu soit sur lui, ainsi que sur sa famille et ses compagnons, et qu'Il leur accorde la paix.  Gloire à ton Seigneur, le Seigneur de la Puissance, au-dessus de ce qu'ils décrivent. Paix sur les messagers, et louange à Dieu, Seigneur de l'univers.","Our master Muhammad is the Messenger of God, upon him is the peace of God. Indeed, God and His angels send blessings upon the Prophet. O you who have believed, ask [God to confer] blessing upon him and ask [God to grant him] peace. May God's prayers be upon him, as well as upon his family and companions, and may He grant them peace.  Glory to your Lord, the Lord of Might, above what they describe. Peace upon the messengers, and praise be to God, the Lord of the worlds.",1,"Sayyidinā Muḥammad Rasūlu Allāh ʿalayhi salāmullāh. Inna Allāha wa malāʾikatahu yuṣallūna ʿala-n-nabī. Yā ayyuhā l-ladhīna āmanū ṣallū ʿalayhi wa sallimū taslīman. Ṣallā Allāhu ʿalayhi wa ʿala ālihi wa ṣaḥbihi wa sallama taslīman.  Subḥāna Rabbika Rabbil-ʿizzati ʿammā yaṣifūn, wa salāmun ʿala-l-mursalīn, wal-ḥamdu lillāhi Rabbil-ʿālamīn.",nul,2,8,,,1,true,2025-07-28 22:11:21.684829+00,2025-07-28 22:11:53.14491+00
5,دعاء الإفتتاح,Opening Prayer,Prière d'ouverture,للَّهُمَّ إِنِّي نَوَيْتُ تِلَاوَةَ هَذَا الْوِرْدِ تَعْظِيمًا وَإِجْلَالًا لَكَ وَابْتِغَاءَ مَرْضَاتِكَ وَ قَصْدًا لِوَجْهِكَ الْكَرِيمِ ، مُخْلِصًا لَكَ مِنْ أَجْلِكَ وَ أَقُولُ بِإِمْدَادِكَ وَ عَوْنِكَ وَحَوْلِكَ وَ قُوَّتِكَ، وَ مَا وَهَبْتَنِي مِنْ إِنْعَامِكَ وَ تَوْفِيقِكَ مُسْتَعِينًا بِكَ,"Ô Allah, je compte réciter cette litanie en Ta glorification et Ta vénération, en recherchant Ton agrément et en visant Ta noble Face. Je le fais sincèrement pour Toi et par amour pour Toi. Je parle grâce à Ton soutien, Ton aide, Ta puissance et Ta force. Et je compte sur ce que Tu m'as accordé comme faveurs et succès, en recherchant Ton assistance.","O Allah, I intend to recite this litany in Your glorification and veneration, seeking Your pleasure and aiming at Your noble Face. I do it sincerely for You and out of love for You. I speak thanks to Your support, Your help, Your power and Your strength. And I rely on what You have granted me of favors and success, seeking Your assistance.",1,"Allāhumma innī nawaytu tilāwata hādhā l-wird taʿẓīman wa ijlālan laka wabtighāʾa marḍātika wa qaṣdan li-wajhika l-karīm, mukhliṣan laka min ajlika wa aqūlu bi-imdādika wa ʿawnika wa ḥawlika wa quwwatika, wa mā wahabtani min inʿāmika wa tawfīqika mustaʿīnan bika.",,2,1,"Ya Allah, aku berniat untuk membaca litani ini dalam memuliakan dan memuji-Mu, dengan mencari keredhaan-Mu dan mengharapkan Wajah-Mu yang mulia. Aku melakukannya dengan tulus untuk-Mu dan kerana cinta-Mu. Aku berbicara dengan pertolongan-Mu, bantuan-Mu, kekuatan-Mu, dan kekuasaan-Mu. Dan aku bergantung pada apa yang Engkau telah kurniakan kepadaku dalam bentuk nikmat dan kejayaan, dengan mencari bantuan-Mu","Ya Allah, aku berniat untuk membaca litani ini dalam memuliakan dan memuji-Mu, dengan mencari keredhaan-Mu dan mengharapkan Wajah-Mu yang mulia. Aku melakukannya dengan tulus untuk-Mu dan kerana cinta-Mu. Aku berbicara dengan pertolongan-Mu, bantuan-Mu, kekuatan-Mu, dan kekuasaan-Mu. Dan aku bergantung pada apa yang Engkau telah kurniakan kepadaku dalam bentuk nikmat dan kejayaan, dengan mencari bantuan-Mu",1,true,2025-07-28 22:11:21.684829+00,2025-07-28 22:11:53.14491+00
6,أستغفر الله,I ask God for forgiveness,Je demande pardon à Allah,أستغفر الله,Je demande pardon à Allah,I ask God for forgiveness,100,Astaghfirullah,null,2,3,,,1,true,2025-07-28 22:11:21.684829+00,2025-07-28 22:11:53.14491+00
7,صلاة الفاتحة,"O Allah, bestow Your blessings upon our master Muhammad, the one who opens what was closed, who seals what came before, the defender of truth with truth, and guides him to Your straight path. And (bestow Your blessings) upon his family according to the true measure of his worth and his immense stature.","Ô Allah, répands Tes bénédictions sur notre maître Muhammad, celui qui ouvre ce qui était fermé, qui scelle ce qui a précédé, le défenseur de la vérité par la vérité, et le guide vers Ton droit chemin. Et (répands Tes bénédictions) sur sa famille selon la vraie mesure de sa valeur et de son immense stature",اللَّهُمَّ صَلِّ عَلى سَيِّدِنَا مُحَمَّدٍ ، الفاتِحِ لِمَا أُغْلِقَ و الخاتِمِ لِمَا سَبَقَ ، نَاصِرِ الحَقِّ بِالحَقِّ و الهَادِي إلى صِرَاطِكَ المُسْتَقِيمِ ، و عَلَى آلِهِ حَقَّ قَدْرِهِ و مِقْدَارِهِ العَظِيمِ,"Ô Allah, répands Tes bénédictions sur notre maître Muhammad, celui qui ouvre ce qui était fermé, qui scelle ce qui a précédé, le défenseur de la vérité par la vérité, et le guide vers Ton droit chemin. Et (répands Tes bénédictions) sur sa famille selon la vraie mesure de sa valeur et de son immense stature","O Allah, bestow Your blessings upon our master Muhammad, the one who opens what was closed, who seals what came before, the defender of truth with truth, and guides him to Your straight path. And (bestow Your blessings) upon his family according to the true measure of his worth and his immense stature.",100,"Allāhumma ṣalli ʿalā sayyidinā Muḥammad, al-fātiḥi limā ughliqa wal-khātimi limā sabaqa, nāṣiri l-ḥaqqi bil-ḥaqqi wal-hādī ilā ṣirāṭika l-mustaqīm, wa ʿalā ālihi ḥaqqa qadrihi wa miqdārihi l-ʿaẓīm.",null,2,5,"Ya Allah, curahkanlah rahmat-Mu ke atas junjungan kami Muhammad, yang membuka apa yang tertutup, yang menyempurnakan apa yang telah terdahulu, pembela kebenaran dengan kebenaran, dan petunjuk ke jalan-Mu yang lurus. Dan (curahkanlah rahmat-Mu) ke atas keluarganya menurut ukuran sebenar nilai dan kedudukannya yang besar.","Ya Allah, curahkanlah rahmat-Mu ke atas junjungan kami Muhammad, yang membuka apa yang tertutup, yang menyempurnakan apa yang telah terdahulu, pembela kebenaran dengan kebenaran, dan petunjuk ke jalan-Mu yang lurus. Dan (curahkanlah rahmat-Mu) ke atas keluarganya menurut ukuran sebenar nilai dan kedudukannya yang besar.",1,true,2025-07-28 22:11:21.684829+00,2025-07-28 22:11:53.14491+00
8,لا اله إلا الله,There is no god but Allah,Il n'y a de dieu qu'Allah,لا اله إلا الله,Il n'y a de dieu qu'Allah,There is no god but Allah,100,Lā ilāha illā Allāh.,null,2,7,Tiada tuhan selain Allah,Tiada tuhan selain Allah,1,true,2025-07-28 22:11:21.684829+00,2025-07-28 22:11:53.14491+00
10,– دعاء اإلفتتاح,Opening Prayer,Prière d'ouverture,للَّهُمَّ إِنِّي نَوَيْتُ تِلَاوَةَ هَذَا الْوِرْدِ تَعْظِيمًا وَإِجْلَالًا لَكَ وَابْتِغَاءَ مَرْضَاتِكَ وَ قَصْدًا لِوَجْهِكَ الْكَرِيمِ ، مُخْلِصًا لَكَ مِنْ أَجْلِكَ وَ أَقُولُ بِإِمْدَادِكَ وَ عَوْنِكَ وَحَوْلِكَ وَ قُوَّتِكَ، وَ مَا وَهَبْتَنِي مِنْ إِنْعَامِكَ وَ تَوْفِيقِكَ مُسْتَعِينًا بِكَ,"Ô Allah, je compte réciter cette litanie en Ta glorification et Ta vénération, en recherchant Ton agrément et en visant Ta noble Face. Je le fais sincèrement pour Toi et par amour pour Toi. Je parle grâce à Ton soutien, Ton aide, Ta puissance et Ta force. Et je compte sur ce que Tu m'as accordé comme faveurs et succès, en recherchant Ton assistance.","O Allah, I intend to recite this litany in Your glorification and veneration, seeking Your pleasure and aiming at Your noble Face. I do it sincerely for You and out of love for You. I speak thanks to Your support, Your help, Your power and Your strength. And I rely on what You have granted me of favors and success, seeking Your assistance.",1,"Allāhumma innī nawaytu tilāwata hādhā l-wird taʿẓīman wa ijlālan laka wabtighāʾa marḍātika wa qaṣdan li-wajhika l-karīm, mukhliṣan laka min ajlika wa aqūlu bi-imdādika wa ʿawnika wa ḥawlika wa quwwatika, wa mā wahabtani min inʿāmika wa tawfīqika mustaʿīnan bika.",assets/laz.mp3,3,1,,,1,true,2025-07-28 22:11:21.684829+00,2025-07-28 22:11:53.14491+00
11,فاتحة الكتاب,Opening of the book,Prologue,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ (1) ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ (2) ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ (3) مَٰلِكِ يَوۡمِ ٱلدِّينِ (4) إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ (5) ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ (6) صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ (7),"1. Au nom d’Allah, le Tout Miséricordieux, le Très Miséricordieux. 2. Louange à Allah, Seigneur de l’univers. 3. Le Tout Miséricordieux, le Très Miséricordieux, 4. Maître du Jour de la rétribution. 5. C’est Toi [Seul] que nous adorons, et c’est Toi [Seul] dont nous implorons secours. 6. Guide-nous dans le droit chemin, 7. le chemin de ceux que Tu as comblés de faveurs, non pas de ceux qui ont encouru Ta colère, ni des égarés","In the name of God, the Most Gracious, the Most Merciful. (1) All praise is due to God, Lord of the worlds. (2) The Most Gracious, the Most Merciful. (3) Master of the Day of Judgment. (4) You alone do we worship, and You alone do we ask for help. (5) Guide us to the straight path. (6) The path of those upon whom You have bestowed favor, except for (7) Those who incur wrath, nor those who go astray.",1,Bismi-llāhi r-raḥmāni r-raḥīm (1) Al-ḥamdu li-llāhi Rabbi l-ʿālamīn (2) Ar-raḥmāni r-raḥīm (3) Māliki yawmi d-dīn (4) Iyyāka naʿbudu wa iyyāka nastaʿīn (5) Ihdinā ṣ-ṣirāta l-mustaqīm (6) Ṣirāta lladhīna anʿamta ʿalayhim ghayri l-maghḍūbi ʿalayhim wa lā ḍ-ḍāllīn,assets/laz.mp3,3,2,Doa pembukaan,"Dengan nama Allah, Yang Maha Pemurah, Yang Maha Penyayang.
Segala puji bagi Allah, Tuhan semesta alam.
Yang Maha Pemurah, Yang Maha Penyayang,
Pemilik Hari Pembalasan.
Hanya kepada Engkau kami menyembah, dan hanya kepada Engkau kami mohon pertolongan.
Tunjukilah kami jalan yang lurus,
iaitu jalan orang-orang yang Engkau telah kurniakan nikmat kepada mereka, bukan jalan mereka yang dimurkai, dan bukan pula jalan mereka yang sesat.",1,true,2025-07-28 22:11:21.684829+00,2025-07-28 22:11:53.14491+00
